"","xy","rsgo","shp","rsg","tif","scen","scenario","lcc_unic_rip","lcc_unic_tif","lcc_unic_log","lcc_cola_log","lcc_unic_out","lcc_cola_out","lcc_unic_cmd","lcc_cola_cmd","crk_unic_rip","crk_unic_tif","crk_unic_log","crk_cola_log","crk_unic_out","crk_cola_out","crk_unic_cmd","crk_cola_cmd","mat_unic_rip","mat_unic_tif","mat_unic_log","mat_cola_log","mat_unic_out","mat_cola_out","mat_unic_cmd","mat_cola_cmd"
"1","sabah_10.xy","size1_side3px_10totpix.rsg","sabah_10.shp","size1.rsg","size1.tif","A","scenarioA","lcc_scenarioA.rip","size1lcc.rsg","logUNIC_lcc_scenarioA.txt","logCOLA_lcc_scenarioA.txt","size1lcc_sabah_10","out_lcc_scenarioA.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioA.rip &> /home/shiny/data/logUNIC_lcc_scenarioA.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_10.shp /home/shiny/data/size1.tif /home/shiny/data/out_lcc_scenarioA.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioA.txt","crk_scenarioA.rip","size1crk.rsg","logUNIC_crk_scenarioA.txt","logCOLA_crk_scenarioA.txt","size1crk_sabah_10","out_crk_scenarioA.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioA.rip &> /home/shiny/data/logUNIC_crk_scenarioA.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_10.shp /home/shiny/data/size1.tif /home/shiny/data/out_crk_scenarioA.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioA.txt","mat_scenarioA.rip","size1mat.rsg","logUNIC_mat_scenarioA.txt","logCOLA_mat_scenarioA.txt","size1mat_sabah_10","out_mat_scenarioA.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioA.rip &> /home/shiny/data/logUNIC_mat_scenarioA.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_10.shp /home/shiny/data/size1.tif /home/shiny/data/out_mat_scenarioA.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioA.txt"
"2","sabah_100.xy","size1_side3px_10totpix.rsg","sabah_100.shp","size1.rsg","size1.tif","B","scenarioB","lcc_scenarioB.rip","size1lcc.rsg","logUNIC_lcc_scenarioB.txt","logCOLA_lcc_scenarioB.txt","size1lcc_sabah_100","out_lcc_scenarioB.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioB.rip &> /home/shiny/data/logUNIC_lcc_scenarioB.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_100.shp /home/shiny/data/size1.tif /home/shiny/data/out_lcc_scenarioB.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioB.txt","crk_scenarioB.rip","size1crk.rsg","logUNIC_crk_scenarioB.txt","logCOLA_crk_scenarioB.txt","size1crk_sabah_100","out_crk_scenarioB.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioB.rip &> /home/shiny/data/logUNIC_crk_scenarioB.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_100.shp /home/shiny/data/size1.tif /home/shiny/data/out_crk_scenarioB.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioB.txt","mat_scenarioB.rip","size1mat.rsg","logUNIC_mat_scenarioB.txt","logCOLA_mat_scenarioB.txt","size1mat_sabah_100","out_mat_scenarioB.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioB.rip &> /home/shiny/data/logUNIC_mat_scenarioB.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_100.shp /home/shiny/data/size1.tif /home/shiny/data/out_mat_scenarioB.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioB.txt"
"3","sabah_20.xy","size1_side3px_10totpix.rsg","sabah_20.shp","size1.rsg","size1.tif","C","scenarioC","lcc_scenarioC.rip","size1lcc.rsg","logUNIC_lcc_scenarioC.txt","logCOLA_lcc_scenarioC.txt","size1lcc_sabah_20","out_lcc_scenarioC.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioC.rip &> /home/shiny/data/logUNIC_lcc_scenarioC.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_20.shp /home/shiny/data/size1.tif /home/shiny/data/out_lcc_scenarioC.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioC.txt","crk_scenarioC.rip","size1crk.rsg","logUNIC_crk_scenarioC.txt","logCOLA_crk_scenarioC.txt","size1crk_sabah_20","out_crk_scenarioC.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioC.rip &> /home/shiny/data/logUNIC_crk_scenarioC.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_20.shp /home/shiny/data/size1.tif /home/shiny/data/out_crk_scenarioC.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioC.txt","mat_scenarioC.rip","size1mat.rsg","logUNIC_mat_scenarioC.txt","logCOLA_mat_scenarioC.txt","size1mat_sabah_20","out_mat_scenarioC.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioC.rip &> /home/shiny/data/logUNIC_mat_scenarioC.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_20.shp /home/shiny/data/size1.tif /home/shiny/data/out_mat_scenarioC.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioC.txt"
"4","sabah_200.xy","size1_side3px_10totpix.rsg","sabah_200.shp","size1.rsg","size1.tif","D","scenarioD","lcc_scenarioD.rip","size1lcc.rsg","logUNIC_lcc_scenarioD.txt","logCOLA_lcc_scenarioD.txt","size1lcc_sabah_200","out_lcc_scenarioD.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioD.rip &> /home/shiny/data/logUNIC_lcc_scenarioD.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_200.shp /home/shiny/data/size1.tif /home/shiny/data/out_lcc_scenarioD.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioD.txt","crk_scenarioD.rip","size1crk.rsg","logUNIC_crk_scenarioD.txt","logCOLA_crk_scenarioD.txt","size1crk_sabah_200","out_crk_scenarioD.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioD.rip &> /home/shiny/data/logUNIC_crk_scenarioD.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_200.shp /home/shiny/data/size1.tif /home/shiny/data/out_crk_scenarioD.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioD.txt","mat_scenarioD.rip","size1mat.rsg","logUNIC_mat_scenarioD.txt","logCOLA_mat_scenarioD.txt","size1mat_sabah_200","out_mat_scenarioD.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioD.rip &> /home/shiny/data/logUNIC_mat_scenarioD.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_200.shp /home/shiny/data/size1.tif /home/shiny/data/out_mat_scenarioD.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioD.txt"
"5","sabah_50.xy","size1_side3px_10totpix.rsg","sabah_50.shp","size1.rsg","size1.tif","E","scenarioE","lcc_scenarioE.rip","size1lcc.rsg","logUNIC_lcc_scenarioE.txt","logCOLA_lcc_scenarioE.txt","size1lcc_sabah_50","out_lcc_scenarioE.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioE.rip &> /home/shiny/data/logUNIC_lcc_scenarioE.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_50.shp /home/shiny/data/size1.tif /home/shiny/data/out_lcc_scenarioE.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioE.txt","crk_scenarioE.rip","size1crk.rsg","logUNIC_crk_scenarioE.txt","logCOLA_crk_scenarioE.txt","size1crk_sabah_50","out_crk_scenarioE.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioE.rip &> /home/shiny/data/logUNIC_crk_scenarioE.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_50.shp /home/shiny/data/size1.tif /home/shiny/data/out_crk_scenarioE.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioE.txt","mat_scenarioE.rip","size1mat.rsg","logUNIC_mat_scenarioE.txt","logCOLA_mat_scenarioE.txt","size1mat_sabah_50","out_mat_scenarioE.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioE.rip &> /home/shiny/data/logUNIC_mat_scenarioE.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_50.shp /home/shiny/data/size1.tif /home/shiny/data/out_mat_scenarioE.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioE.txt"
"6","sabah_500.xy","size1_side3px_10totpix.rsg","sabah_500.shp","size1.rsg","size1.tif","F","scenarioF","lcc_scenarioF.rip","size1lcc.rsg","logUNIC_lcc_scenarioF.txt","logCOLA_lcc_scenarioF.txt","size1lcc_sabah_500","out_lcc_scenarioF.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioF.rip &> /home/shiny/data/logUNIC_lcc_scenarioF.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_500.shp /home/shiny/data/size1.tif /home/shiny/data/out_lcc_scenarioF.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioF.txt","crk_scenarioF.rip","size1crk.rsg","logUNIC_crk_scenarioF.txt","logCOLA_crk_scenarioF.txt","size1crk_sabah_500","out_crk_scenarioF.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioF.rip &> /home/shiny/data/logUNIC_crk_scenarioF.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_500.shp /home/shiny/data/size1.tif /home/shiny/data/out_crk_scenarioF.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioF.txt","mat_scenarioF.rip","size1mat.rsg","logUNIC_mat_scenarioF.txt","logCOLA_mat_scenarioF.txt","size1mat_sabah_500","out_mat_scenarioF.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioF.rip &> /home/shiny/data/logUNIC_mat_scenarioF.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_500.shp /home/shiny/data/size1.tif /home/shiny/data/out_mat_scenarioF.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioF.txt"
"7","sabah_10.xy","size2_side10px_100totpix.rsg","sabah_10.shp","size2.rsg","size2.tif","G","scenarioG","lcc_scenarioG.rip","size2lcc.rsg","logUNIC_lcc_scenarioG.txt","logCOLA_lcc_scenarioG.txt","size2lcc_sabah_10","out_lcc_scenarioG.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioG.rip &> /home/shiny/data/logUNIC_lcc_scenarioG.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_10.shp /home/shiny/data/size2.tif /home/shiny/data/out_lcc_scenarioG.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioG.txt","crk_scenarioG.rip","size2crk.rsg","logUNIC_crk_scenarioG.txt","logCOLA_crk_scenarioG.txt","size2crk_sabah_10","out_crk_scenarioG.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioG.rip &> /home/shiny/data/logUNIC_crk_scenarioG.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_10.shp /home/shiny/data/size2.tif /home/shiny/data/out_crk_scenarioG.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioG.txt","mat_scenarioG.rip","size2mat.rsg","logUNIC_mat_scenarioG.txt","logCOLA_mat_scenarioG.txt","size2mat_sabah_10","out_mat_scenarioG.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioG.rip &> /home/shiny/data/logUNIC_mat_scenarioG.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_10.shp /home/shiny/data/size2.tif /home/shiny/data/out_mat_scenarioG.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioG.txt"
"8","sabah_100.xy","size2_side10px_100totpix.rsg","sabah_100.shp","size2.rsg","size2.tif","H","scenarioH","lcc_scenarioH.rip","size2lcc.rsg","logUNIC_lcc_scenarioH.txt","logCOLA_lcc_scenarioH.txt","size2lcc_sabah_100","out_lcc_scenarioH.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioH.rip &> /home/shiny/data/logUNIC_lcc_scenarioH.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_100.shp /home/shiny/data/size2.tif /home/shiny/data/out_lcc_scenarioH.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioH.txt","crk_scenarioH.rip","size2crk.rsg","logUNIC_crk_scenarioH.txt","logCOLA_crk_scenarioH.txt","size2crk_sabah_100","out_crk_scenarioH.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioH.rip &> /home/shiny/data/logUNIC_crk_scenarioH.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_100.shp /home/shiny/data/size2.tif /home/shiny/data/out_crk_scenarioH.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioH.txt","mat_scenarioH.rip","size2mat.rsg","logUNIC_mat_scenarioH.txt","logCOLA_mat_scenarioH.txt","size2mat_sabah_100","out_mat_scenarioH.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioH.rip &> /home/shiny/data/logUNIC_mat_scenarioH.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_100.shp /home/shiny/data/size2.tif /home/shiny/data/out_mat_scenarioH.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioH.txt"
"9","sabah_20.xy","size2_side10px_100totpix.rsg","sabah_20.shp","size2.rsg","size2.tif","I","scenarioI","lcc_scenarioI.rip","size2lcc.rsg","logUNIC_lcc_scenarioI.txt","logCOLA_lcc_scenarioI.txt","size2lcc_sabah_20","out_lcc_scenarioI.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioI.rip &> /home/shiny/data/logUNIC_lcc_scenarioI.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_20.shp /home/shiny/data/size2.tif /home/shiny/data/out_lcc_scenarioI.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioI.txt","crk_scenarioI.rip","size2crk.rsg","logUNIC_crk_scenarioI.txt","logCOLA_crk_scenarioI.txt","size2crk_sabah_20","out_crk_scenarioI.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioI.rip &> /home/shiny/data/logUNIC_crk_scenarioI.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_20.shp /home/shiny/data/size2.tif /home/shiny/data/out_crk_scenarioI.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioI.txt","mat_scenarioI.rip","size2mat.rsg","logUNIC_mat_scenarioI.txt","logCOLA_mat_scenarioI.txt","size2mat_sabah_20","out_mat_scenarioI.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioI.rip &> /home/shiny/data/logUNIC_mat_scenarioI.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_20.shp /home/shiny/data/size2.tif /home/shiny/data/out_mat_scenarioI.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioI.txt"
"10","sabah_200.xy","size2_side10px_100totpix.rsg","sabah_200.shp","size2.rsg","size2.tif","J","scenarioJ","lcc_scenarioJ.rip","size2lcc.rsg","logUNIC_lcc_scenarioJ.txt","logCOLA_lcc_scenarioJ.txt","size2lcc_sabah_200","out_lcc_scenarioJ.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py lcc_scenarioJ.rip &> /home/shiny/data/logUNIC_lcc_scenarioJ.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/lcc.py /home/shiny/data/sabah_200.shp /home/shiny/data/size2.tif /home/shiny/data/out_lcc_scenarioJ.tif 100000 2 100 1 &> /home/shiny/data/logCOLA_lcc_scenarioJ.txt","crk_scenarioJ.rip","size2crk.rsg","logUNIC_crk_scenarioJ.txt","logCOLA_crk_scenarioJ.txt","size2crk_sabah_200","out_crk_scenarioJ.tif","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py crk_scenarioJ.rip &> /home/shiny/data/logUNIC_crk_scenarioJ.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/crk.py /home/shiny/data/sabah_200.shp /home/shiny/data/size2.tif /home/shiny/data/out_crk_scenarioJ.tif 1000000 linear 10000 1 &> /home/shiny/data/logCOLA_crk_scenarioJ.txt","mat_scenarioJ.rip","size2mat.rsg","logUNIC_mat_scenarioJ.txt","logCOLA_mat_scenarioJ.txt","size2mat_sabah_200","out_mat_scenarioJ.csv","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python UNICOR.py mat_scenarioJ.rip &> /home/shiny/data/logUNIC_mat_scenarioJ.txt","/usr/bin/time -v /home/shiny/anaconda3/envs/cdujlab/bin/python /home/shiny/connecting-landscapes/src/create_cdmat.py /home/shiny/data/sabah_200.shp /home/shiny/data/size2.tif /home/shiny/data/out_mat_scenarioJ.csv 100000 1 &> /home/shiny/data/logCOLA_mat_scenarioJ.txt"
